staion lat: 33.451
staion lon: 132.688
staion H: 190.000
dt: 0.01
duration: 77.000
EQ lat: 32.742
EQ lon: 130.808
EQ depth: 11.000
mag: 6.5
pgamax UD EW NS: 1.163,3.918,3.883
UD EW NS: 
 16.2084  -7.4732   9.2332
 16.2198  -7.5810   9.2895
 16.2122  -7.6773   9.3000
 16.1683  -7.7136   9.2895
 16.1244  -7.6773   9.2837
 16.1054  -7.5886   9.2952
 16.1388  -7.4808   9.3314
 16.2303  -7.3759   9.3772
 16.3563  -7.2910   9.4125
 16.4755  -7.2356   9.4383
 16.5594  -7.2137   9.4564
 16.6033  -7.2309   9.4545
 16.6005  -7.2728   9.4202
 16.5509  -7.3015   9.3610
 16.4774  -7.2976   9.3057
 16.4001  -7.2805   9.2837
 16.3276  -7.2795   9.2990
 16.2685  -7.2976   9.3286
 16.2179  -7.3301   9.3467
 16.1702  -7.3663   9.3505
 16.1244  -7.4121   9.3467
 16.0806  -7.4779   9.3333
 16.0500  -7.5409   9.3038
 16.0424  -7.5771   9.2599
 16.0596  -7.5915   9.2189
 16.0949  -7.6058   9.2007
 16.1521  -7.6334   9.2112
 16.2198  -7.6449   9.2256
 16.2561  -7.6220   9.2160
 16.2494  -7.5915   9.1855
 16.2122  -7.5733   9.1597
 16.1512  -7.5542   9.1445
 16.0977  -7.4970   9.1216
 16.0949  -7.4121   9.1054
 16.1235  -7.3444   9.1120
 16.1302  -7.3196   9.1416
 16.1054  -7.3358   9.1922
 16.0729  -7.3835   9.2504
 16.0252  -7.4560   9.2856
 15.9346  -7.5294   9.2961
 15.8220  -7.5762   9.2933
 15.7391  -7.5972   9.2933
 15.7276  -7.6220   9.3076
 15.7839  -7.6697   9.3257
 15.9031  -7.7460   9.3209
 16.0720  -7.8194   9.2799
 16.2370  -7.8566   9.2065
 16.3314  -7.8576   9.1263
 16.3248  -7.8318   9.0701
 16.2494  -7.7765   9.0443
 16.1578  -7.6916   9.0424
 16.1082  -7.5876   9.0682
 16.1073  -7.4846   9.1111
 16.1168  -7.4178   9.1521
 16.1139  -7.4054   9.1960
 16.0949  -7.4436   9.2246
 16.0453  -7.5180   9.2141
 15.9899  -7.6019   9.1826
 15.9690  -7.6592   9.1607
 16.0004  -7.6649   9.1750
 16.0891  -7.6287   9.2523
 16.2084  -7.5781   9.3753
 16.3105  -7.5590   9.4803
 16.3639  -7.5810   9.5232
 16.3524  -7.6096   9.4917
 16.2838  -7.6172   9.3963
 16.1760  -7.5876   9.2771
 16.0634  -7.5066   9.1788
 15.9985  -7.3988   9.1292
 16.0233  -7.3243   9.1302
 16.1492  -7.3062   9.1635
 16.3248  -7.3387   9.1922
 16.4726  -7.3835   9.1893
 16.5308  -7.3988   9.1588
 16.4822  -7.3759   9.1387
 16.3496  -7.3415   9.1626
 16.1845  -7.3158   9.2208
 16.0634  -7.2976   9.2923
 16.0290  -7.2967   9.3591
 16.0472  -7.3377   9.3934
 16.0701  -7.4331   9.3839
 16.0920  -7.5657   9.3353
 16.1168  -7.7126   9.2580
 16.1512  -7.8490   9.1807
 16.2055  -7.9330   9.1130
 16.2838  -7.9234   9.0557
 16.3687  -7.8128   9.0052
 16.4154  -7.6296   8.9833
 16.4001  -7.4388   9.0147
 16.3524  -7.3081   9.1034
 16.3152  -7.2614   9.2170
 16.3076  -7.2786   9.2952
 16.3086  -7.3081   9.3000
 16.2799  -7.3186   9.2513
 16.2151  -7.3186   9.2027
 16.1578  -7.3310   9.2084
 16.1388  -7.3453   9.2818
 16.1702  -7.3358   9.3887
 16.2580  -7.3196   9.5098
 16.3706  -7.3387   9.6157
 16.4373  -7.4121   9.6548
 16.4221  -7.5075   9.6233
 16.3486  -7.5743   9.5423
 16.2427  -7.5857   9.4326
 16.1168  -7.5514   9.3143
 15.9957  -7.4961   9.2065
 15.9069  -7.4417   9.1130
 15.8669  -7.4197   9.0386
 15.8793  -7.4531   8.9937
 15.9260  -7.5390   8.9756
 15.9766  -7.6554   8.9833
 16.0395  -7.7469   9.0262
 16.1216  -7.7727   9.1111
 16.1950  -7.7374   9.2217
 16.2494  -7.6554   9.3429
 16.3105  -7.5323   9.4507
 16.3648  -7.4035   9.5136
 16.3629  -7.3158   9.5270
 16.2895  -7.2843   9.4917
 16.1826  -7.2891   9.4106
 16.0977  -7.2843   9.3152
 16.0863  -7.2614   9.2360
 16.1826  -7.2471   9.1883
 16.3667  -7.2490   9.1788
 16.5652  -7.2509   9.2027
 16.7159  -7.2633   9.2475
 16.7750  -7.3043   9.2923
 16.7159  -7.3558   9.3076
 16.5613  -7.3606   9.2856
 16.3744  -7.2929   9.2580
 16.1960  -7.1898   9.2732
 16.0729  -7.1288   9.3333
 16.0539  -7.1717   9.3925
 16.1273  -7.2995   9.3925
 16.2208  -7.4484   9.3171
 16.2647  -7.5542   9.2074
 16.2208  -7.5895   9.1407
 16.1216  -7.5628   9.1645
 16.0233  -7.4903   9.2523
 15.9852  -7.4016   9.3515
 16.0205  -7.3377   9.4354
 16.0977  -7.3406   9.4841
 16.1607  -7.4121   9.4621
 16.1903  -7.5209   9.3629
 16.2084  -7.6153   9.2341
 16.2179  -7.6687   9.1254
 16.2313  -7.6878   9.0567
 16.2685  -7.6916   9.0262
 16.3305  -7.6735   9.0185
 16.3563  -7.6058   9.0262
 16.2942  -7.4856   9.0643
 16.1569  -7.3596   9.1540
 15.9899  -7.2862   9.2876
 15.8602  -7.2967   9.4135
 15.7944  -7.3606   9.5012
 15.7667  -7.4474   9.5423
 15.7486  -7.5466   9.5451
 15.7505  -7.6496   9.5289
 15.7782  -7.7574   9.4993
 15.8220  -7.8757   9.4469
 15.9003  -7.9721   9.3725
 16.0224  -8.0169   9.2780
 16.1645  -8.0264   9.1702
 16.3095  -8.0236   9.0462
 16.4526  -8.0169   8.9174
 16.5652  -7.9988   8.8068
 16.6148  -7.9301   8.7476
 16.6005  -7.7946   8.7610
 16.5270  -7.6239   8.8259
 16.4202  -7.4589   8.9136
 16.3343  -7.3196   9.0081
 16.2971  -7.2051   9.1015
 16.2971  -7.0887   9.2084
 16.3524  -6.9704   9.3591
 16.4822  -6.8827   9.5470
 16.6329  -6.8254   9.7216
 16.7254  -6.7901   9.8475
 16.7331  -6.7854   9.9286
 16.6720  -6.8188   9.9572
 16.5652  -6.8827   9.9172
 16.4316  -6.9580   9.8113
 16.3229  -7.0057   9.6796
 16.3057  -7.0296   9.5499
 16.3887  -7.0592   9.4211
 16.5041  -7.1240   9.2704
 16.6214  -7.2366   9.0910
 16.7502  -7.3816   8.9060
 16.8246  -7.4932   8.7400
 16.7731  -7.5190   8.6370
 16.6358  -7.4550   8.6484
 16.4936  -7.3492   8.7734
 16.3706  -7.2538   8.9508
 16.2694  -7.1689   9.1387
 16.2246  -7.0773   9.3276
 16.2284  -7.0000   9.5041
 16.2170  -6.9876   9.6634
 16.1359  -7.0487   9.7922
 15.9918  -7.1498   9.8647
 15.8182  -7.2471   9.8885
 15.6637  -7.3272   9.8876
 15.5607  -7.4007   9.8523
 15.5177  -7.4827   9.7712
 15.5244  -7.5695   9.6453
 15.5664  -7.6430   9.4879
 15.6379  -7.7307   9.3248
 15.7085  -7.8652   9.1702
 15.7534  -8.0102   9.0052
 15.7820  -8.1113   8.8239
 15.8077  -8.1581   8.6446
 15.8020  -8.1743   8.4977
 15.7572  -8.1915   8.4195
 15.7352  -8.2363   8.4481
 15.7867  -8.3136   8.5750
 15.8783  -8.3937   8.7390
 15.9441  -8.4376   8.8793
 15.9489  -8.4176   8.9890
 15.8926  -8.3098   9.0872
 15.7829  -8.1075   9.1855
 15.6761  -7.8433   9.2675
 15.6570  -7.5657   9.3000
 15.7543  -7.3243   9.2895
 15.9375  -7.1727   9.2856
 16.1740  -7.1355   9.3114
 16.4488  -7.2070   9.3295
 16.7273  -7.3348   9.3066
 16.9429  -7.4226   9.2475
 17.0421  -7.4178   9.1769
 16.9887  -7.3444   9.1416
 16.7846  -7.2318   9.1635
 16.4755  -7.1107   9.2007
 16.1292  -7.0382   9.2112
 15.8297  -7.0735   9.2151
 15.6456  -7.2051   9.2408
 15.5979  -7.3940   9.2933
 15.6790  -7.6143   9.3648
 15.8554  -7.8462   9.4306
 16.0539  -8.0474   9.4602
 16.1874  -8.1514   9.4402
 16.2141  -8.1056   9.3992
 16.1435  -7.9110   9.3725
 15.9947  -7.6468   9.3705
 15.8354  -7.4007   9.3839
 15.7648  -7.1908   9.3877
 15.8154  -7.0315   9.3572
 15.9508  -6.9695   9.2923
 16.1130  -7.0448   9.2122
 16.2341  -7.2652   9.1187
 16.2561  -7.5380   9.0023
 16.1702  -7.7183   8.8907
 16.0071  -7.7584   8.8421
 15.8192  -7.7059   8.8812
 15.6790  -7.5895   8.9842
 15.6379  -7.4417   9.1120
 15.7028  -7.3310   9.2332
 15.8564  -7.3453   9.3248
 16.0577  -7.5256   9.3629
 16.2389  -7.8214   9.3314
 16.3429  -8.0951   9.2408
 16.3534  -8.2468   9.1349
 16.3305  -8.2697   9.0720
 16.3410  -8.1743   9.0796
 16.3944  -7.9625   9.1225
 16.4679  -7.6687   9.1626
 16.5394  -7.3740   9.2074
 16.5489  -7.1765   9.2561
 16.4583  -7.1145   9.2723
 16.3105  -7.1421   9.2341
 16.1845  -7.1956   9.1712
 16.0949  -7.2318   9.1178
 16.0472  -7.2471   9.0939
 16.0758  -7.2652   9.1178
 16.1826  -7.3196   9.1693
 16.2914  -7.4255   9.2208
 16.3534  -7.5838   9.2723
 16.3849  -7.7822   9.3133
 16.3925  -7.9864   9.2961
 16.3563  -8.1247   9.1998
 16.2694  -8.1486   9.0758
 16.1407  -8.0932   9.0157
 16.0062  -8.0255   9.0643
 15.9136  -7.9492   9.1702
 15.8926  -7.8433   9.2580
 15.9451  -7.7050   9.3066
 16.0481  -7.5390   9.3324
 16.1655  -7.3606   9.3391
 16.2857  -7.1803   9.3333
 16.4020  -7.0067   9.3372
